LanePointX,LanePointY
2.508856,6.000000
2.508856,6.000000
2.529144,6.000000
2.549574,6.000000
2.591041,6.000000
2.949763,6.000000
2.949763,6.000000
2.974038,6.000000
2.997923,6.000000
3.022196,6.000000
3.046647,6.000000
3.071345,6.000000
3.095929,6.000000
3.145706,6.000000
3.170897,6.000000
3.195955,6.000000
3.195955,6.000000
3.246582,6.000000
3.272054,6.000000
3.297640,6.000000
3.688052,6.000000
3.740516,6.000000
3.740516,6.000000
3.766724,6.000000
3.793051,6.000000
3.819127,6.000000
3.845363,6.000000
3.871452,6.000000
3.897701,6.000000
3.923726,6.000000
3.975888,6.000000
4.001905,6.000000
4.028024,6.000000
4.053972,6.000000
4.080127,6.000000
4.494871,6.000000
4.520648,6.000000
4.546522,6.000000
4.572209,6.000000
4.572209,6.000000
4.598007,6.000000
4.649476,6.000000
4.649476,6.000000
4.675406,6.000000
4.726683,6.000000
4.726683,6.000000
4.752245,6.000000
4.778100,6.000000
4.829285,6.000000
4.854734,6.000000
5.262553,6.000000
5.287927,6.000000
5.313265,6.000000
5.338620,6.000000
5.363942,6.000000
5.363942,6.000000
5.389244,6.000000
5.414550,6.000000
5.439820,6.000000
5.490336,6.000000
5.515554,6.000000
5.540747,6.000000
5.565939,6.000000
5.591134,6.000000
5.616317,6.000000
6.018969,6.000000
6.044257,6.000000
6.069560,6.000000
6.094923,6.000000
6.120325,6.000000
6.145802,6.000000
6.171259,6.000000
6.196737,6.000000
6.222303,6.000000
6.247926,6.000000
6.273612,6.000000
6.299350,6.000000
6.325142,6.000000
6.351005,6.000000
6.376918,6.000000
6.802768,6.000000
6.830376,6.000000
6.857823,6.000000
6.857823,6.000000
6.885518,6.000000
6.913487,6.000000
6.969307,6.000000
6.969307,6.000000
7.025818,6.000000
7.025818,6.000000
7.082878,6.000000
7.111764,6.000000
7.140421,6.000000
7.169610,6.000000
7.198714,6.000000
7.655793,6.000000
7.719523,6.000000
7.751709,6.000000
7.783971,6.000000
7.816336,6.000000
7.848851,6.000000
7.881497,6.000000
7.914266,6.000000
7.947149,6.000000
7.980129,6.000000
7.980129,6.000000
8.013205,6.000000
8.046369,6.000000
8.079624,6.000000
8.112977,6.000000
8.687061,6.000000
8.720952,6.000000
8.754817,6.000000
8.788688,6.000000
8.822531,6.000000
8.856367,6.000000
8.890165,6.000000
8.923970,6.000000
8.957717,6.000000
8.957717,6.000000
8.991576,6.000000
9.025338,6.000000
9.092744,6.000000
9.126425,6.000000
9.160112,6.000000
9.697315,6.000000
9.730740,6.000000
9.764171,6.000000
9.797697,6.000000
9.830999,6.000000
9.864386,6.000000
9.897761,6.000000
9.931123,6.000000
9.964467,6.000000
9.997797,6.000000
10.031129,6.000000
10.031129,6.000000
10.097733,6.000000
10.130987,6.000000
10.164239,6.000000
10.661322,6.000000
10.694432,6.000000
10.727486,6.000000
10.760465,6.000000
10.793462,6.000000
10.826642,6.000000
10.859412,6.000000
10.892309,6.000000
10.925254,6.000000
10.958163,6.000000
10.991058,6.000000
11.023911,6.000000
11.089627,6.000000
11.089627,6.000000
11.122410,6.000000
11.678492,6.000000
11.678492,6.000000
11.743640,6.000000
11.776178,6.000000
11.776178,6.000000
11.841185,6.000000
11.873658,6.000000
11.906144,6.000000
11.938612,6.000000
11.971091,6.000000
12.003564,6.000000
12.035984,6.000000
12.035984,6.000000
12.100821,6.000000
12.133201,6.000000
12.649416,6.000000
12.681618,6.000000
12.681618,6.000000
12.713832,6.000000
12.746067,6.000000
12.778249,6.000000
12.810478,6.000000
12.842712,6.000000
12.907231,6.000000
12.939386,6.000000
12.971733,6.000000
13.004147,6.000000
13.036518,6.000000
13.068789,6.000000
13.101307,6.000000
13.594574,6.000000
13.627865,6.000000
13.661502,6.000000
13.695058,6.000000
13.728782,6.000000
13.762415,6.000000
13.796331,6.000000
13.830226,6.000000
13.898054,6.000000
13.932073,6.000000
13.966129,6.000000
14.000245,6.000000
14.000245,6.000000
14.034424,6.000000
14.068691,6.000000
14.648156,6.000000
